Reading, Time (micro), X Coord, Y Coord
798,9261771,0.483817,0.497818
799,9273050,0.486526,0.498063
800,9284094,0.489223,0.498229
801,9294951,0.492244,0.498434
802,9305319,0.495052,0.498694
803,9317406,0.497732,0.498937
804,9328453,0.499917,0.499053
805,9338802,0.501995,0.499146
806,9350662,0.503683,0.499023
807,9361695,0.504975,0.498835
808,9371998,0.506145,0.498943
809,9383834,0.507273,0.499076
810,9394694,0.508078,0.499051
811,9405285,0.508795,0.498939
812,9418011,0.509443,0.499205
813,9428108,0.510738,0.499791
814,9438668,0.511963,0.500294
815,9450462,0.513122,0.500472
816,9461375,0.513986,0.500617
817,9472167,0.514819,0.500756
818,9483974,0.51569,0.501285
819,9494841,0.516304,0.501695
820,9505597,0.516966,0.502444
821,9517151,0.516865,0.503125
822,9528229,0.516562,0.503734
823,9538726,0.515694,0.50394
824,9550510,0.515096,0.50404
825,9561346,0.514436,0.504064
826,9571911,0.51368,0.504022
827,9583600,0.512749,0.503695
828,9594675,0.511402,0.503598
829,9605269,0.510302,0.503706
830,9617035,0.509314,0.503849
831,9627911,0.508871,0.503731
832,9638624,0.508386,0.503426
833,9650329,0.508005,0.503249
834,9661228,0.50749,0.50333
835,9671967,0.507013,0.503594
836,9683703,0.506599,0.503949
837,9694585,0.50613,0.504393
838,9705249,0.50566,0.505001
839,9717072,0.505156,0.50555
840,9728002,0.504259,0.505778
841,9738523,0.503528,0.505852
842,9750285,0.502914,0.506055
843,9761173,0.503196,0.505972
844,9771986,0.503363,0.505977
845,9783801,0.503595,0.505766
846,9794435,0.503618,0.505921
847,9805107,0.503614,0.505843
848,9816700,0.503587,0.505606
849,9827861,0.503494,0.505357
850,9838256,0.503515,0.50517
851,9850350,0.50346,0.505388
852,9861233,0.503265,0.505823
853,9871663,0.503041,0.506292
854,9883556,0.502663,0.506717
855,9894293,0.502152,0.506992
856,9905112,0.501661,0.507587
857,9916747,0.501312,0.507985
858,9927808,0.501344,0.508285
